Cl32Na32_82254e
time                          T                             E_tot                         E_kin                         E_pot                         V                             MSD                           
96                            300.1006070477323             -211.82869235269524           2.482623422716536             -214.31131577541177           1404.3910705817434            0.016980270636882618          
97                            295.9693181622504             -211.85630714350083           2.448446768913651             -214.30475391241447           1404.3910705817434            0.01712793051853351           
98                            293.1556859393658             -211.8755498306122            2.4251706105340975            -214.3007204411463            1404.3910705817434            0.017273981727725814          
99                            329.3752736875901             -211.5749676788465            2.7248021167462007            -214.29976979559268           1404.3910705817434            0.017429209327228082          
100                           313.008372570124              -211.71170570788175           2.5894046829614563            -214.3011103908432            1404.3910705817434            0.01760003159049435           
101                           322.9211794446133             -211.62737948179787           2.6714097371117083            -214.29878921890958           1404.3910705817434            0.017785472344921956          
102                           327.94067967875446            -211.58135535414343           2.7129342410912285            -214.29428959523466           1404.3910705817434            0.017976437286482093          
103                           334.4311204711798             -211.52104904216355           2.766627302540008             -214.28767634470356           1404.3910705817434            0.018177685176509945          
104                           313.5754082573949             -211.6851529379548            2.5940955634384526            -214.27924850139325           1404.3910705817434            0.018367060063243536          
105                           314.9568153693579             -211.6639331111359            2.6055234431958607            -214.26945655433175           1404.3910705817434            0.018560929996266393          
106                           318.95872478716836            -211.62190298566395           2.638629787611438             -214.2605327732754            1404.3910705817434            0.018733871512762224          
107                           289.0864024623771             -211.85529225990817           2.391506904975386             -214.24679916488356           1404.3910705817434            0.018922313527437132          
108                           294.7798525249282             -211.79166210365997           2.43860675132494              -214.2302688549849            1404.3910705817434            0.019112041366191223          
109                           286.3198012441543             -211.84802247621553           2.368619817030963             -214.2166422932465            1404.3910705817434            0.019268594200570976          
110                           261.48240966425175            -212.04232544623005           2.163149089390479             -214.20547453562054           1404.3910705817434            0.019398422358662352          
111                           275.19410511588586            -211.92311358420326           2.276580970212927             -214.1996945544162            1404.3910705817434            0.0195071913811726            
112                           304.9299345881562             -211.66758219519173           2.522574697010091             -214.19015689220183           1404.3910705817434            0.019635932536172535          
113                           325.43184345784573            -211.4898828699639            2.692179549432784             -214.1820624193967            1404.3910705817434            0.019771795194206288          
114                           336.2469694533446             -211.39086380827328           2.7816491622409494            -214.17251297051422           1404.3910705817434            0.019920352572182564          
115                           348.2564804689436             -211.27892183753698           2.8809994889064203            -214.1599213264434            1404.3910705817434            0.02010517321198074           
116                           339.04599631960076            -211.34298544541144           2.8048044958050538            -214.1477899412165            1404.3910705817434            0.020288773400340895          
117                           328.3492409694232             -211.41846648775666           2.7163141203917327            -214.1347806081484            1404.3910705817434            0.0204721651782931            
118                           308.99221770944894            -211.5661759238501            2.5561804911663932            -214.1223564150165            1404.3910705817434            0.02062126050250013           
119                           281.40195343282005            -211.7816982855332            2.3279362466580724            -214.10963453219128           1404.3910705817434            0.020770095160609216          
120                           287.2759162892353             -211.71756357922945           2.376529409847455             -214.0940929890769            1404.3910705817434            0.020915713425312527          
121                           314.20615525577               -211.4804827040338            2.599313504472891             -214.07979620850668           1404.3910705817434            0.021058191115279113          
122                           308.88914174317904            -211.51146095621607           2.5553277811012647            -214.06678873731732           1404.3910705817434            0.021205883301313424          
123                           309.9594072448003             -211.4902762632005            2.5641816992222224            -214.05445796242273           1404.3910705817434            0.02132778377561062           
124                           291.8837026049673             -211.62777930939862           2.4146479539811883            -214.0424272633798            1404.3910705817434            0.02146382827466481           
125                           299.65596729684165            -211.5488080638536            2.478945079406633             -214.02775314326024           1404.3910705817434            0.021620855185983556          
126                           293.5765271267846             -211.5836449285225            2.428652076964332             -214.01229700548683           1404.3910705817434            0.02177790100179572           
127                           300.04661834362304            -211.5115200669652            2.4821767937586596            -213.99369686072387           1404.3910705817434            0.02194334857313345           
128                           283.48825182438117            -211.6287685607713            2.345195436183276             -213.97396399695458           1404.3910705817434            0.02211324765557694           
129                           280.8654526546759             -211.63376424181573           2.3234979704038876            -213.9572622122196            1404.3910705817434            0.02224924637839003           
130                           276.6992882790198             -211.6526565613958            2.28903280432628              -213.94168936572206           1404.3910705817434            0.022378745297554153          
131                           267.42170862203665            -211.71550652731912           2.2122827544375725            -213.9277892817567            1404.3910705817434            0.02250938623529956           
132                           277.7802724862923             -211.61825170639452           2.2979753944095265            -213.91622710080404           1404.3910705817434            0.022631517713166908          
133                           284.4708044848473             -211.5518862209809            2.353323737798266             -213.90520995877915           1404.3910705817434            0.022743047012296163          
134                           277.04515960490716            -211.6008344266372            2.2918940722968486            -213.89272849893405           1404.3910705817434            0.022856186158889957          
